year,artist,track,lyrics
2007,Rihanna ft Jay-z,Umbrella,Ahuh Ahuh (Yea Rihanna) Ahuh Ahuh (Good girl gone bad) Ahuh Ahuh (Take three... Action) Ahuh Ahuh No clouds in my stones Let it rain I hydroplane in the bank Coming down with the Dow Jones When the clouds come we gone we Rocafella We fly higher than weather And G5's are better You know me an anticipation for precipitation. Stacked chips for the rainy day Jay Rain Man is back with little Ms. Sunshine Rihanna where you at?. [Rihanna] You have my heart And we'll never be worlds apart May be in magazines But you'll still be my star Baby cause in the dark You can't see shiny cars And that's when you need me there With you I'll always share Because. [Chorus] When the sun shines we'll shine together Told you I'll be here forever Said I'll always be a friend Took an oath I'ma stick it out till the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh eh eh eh). These fancy things will never come in between You're part of my entity here for Infinity When the war has took it's part When the world has dealt it's cards If the hand is hard together we'll mend your heart Because. [Chorus] When the sun shines we'll shine together Told you I'll be here forever Said I'll always be a friend Took an oath I'ma stick it out till the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh eh eh eh) You can run into my arms It's OK don't be alarmed Come here to me There's no distance in between our love So go on and let the rain pour I'll be all you need and more Because. [Chorus] When the sun shines we'll shine together Told you I'll be here forever Said I'll always be a friend Took an oath I'ma stick it out till the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh) Under my umbrella (Ella ella eh eh eh eh eh eh). It's raining Ooh baby it's raining Baby come here to me Come here to me It's raining Oh baby it's raining. 
2007,Gwen Stefani ft Akon,The Sweet Escape,If I could escape I would but First of all let me say I must apologize for acting stank & treating you this way Cause I've been acting like sour milk all on the floor It's your fault you didn't shut the refrigerator Maybe that's the reason I've been acting so cold? [CHORUS] If I could escape & recreate a place that's my own world & I could be your favourite girl (forever) Perfectly together Tell me boy now wouldn't that be sweet? (sweet escape) If I could be sweet I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (whatsoever) We can make it better Tell me boy wouldn't that be sweet? (sweet escape). [Akon] I want to get away to our sweet escape I want to get away yeah. [Gwen] You held me down I'm at my lowest boiling point Come help me out I need to get me out of this joint Come on let's bounce counting on you to turn me around Instead of clowning around let's look for some common ground So baby times get a little crazy I've been gettin' a little lazy waitin' on you to come save me I can see that you're angry by the way that you treat me Hopefully you don't leave me wanted you with me. [CHORUS] If I could escape & recreate a place that's my own world & I could be your favourite girl (forever) Perfectly together & tell me boy now wouldn't that be sweet? (sweet escape) If I could be sweet (sorry boy) I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (whatsoever) We can make it better & tell me boy now wouldn't that be sweet? (sweet escape). Woohoo Yeehoo Woohoo Yeehoo (If I could escape) Woohoo yeehoo (If I could escape) Woohoo Yeehoo Cause I've been acting like sour milk all on the floor It's your fault you didn't shut the refrigerator Maybe that's the reason I've been acting so cold?. [CHORUS] If I could escape & recreate a place that's my own world & I could be your favourite girl (forever) Perfectly together & tell me boy now wouldn't that be sweet? (sweet escape) If I could be sweet (sorry boy) I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (whatsoever) We can make ït better & tell me boy now wouldn't that be sweet? (sweet escape). Woohoo Yeehoo (I wanna get away get away) Woohoo Yeehoo (To our sweet escape) Woohoo Yeehoo (I wanna get away) Woohoo Yeehoo (Yeah) Woohoo Yeehoo Woohoo Yeehoo. 
2008,Flo Rida,Low,Shawty had them. (Chorus) Apple Bottom Jeans [Jeans] Boots with the fur [With the fur] The whole club was lookin at her She hit the flow [She hit the flow] Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps [With the straps] She turned around and gave that big booty a smack [Ayy] She hit the flow [She hit the flow] Next thing you know Shawty got low low low low low low low low. I ain't never seen nuthin that'll make me go This crazy all night spendin my dough Had a million dollar vibe and a bottle to go Dem birthday cakes they stole the show So s__ual she was flexible Professional drinkin X and ooo Hold up wait a minute do I see what I think I Whoa Did I think I seen shorty get low Ain't the same when it's up that close Make it rain I'm makin it snow Work the pole I got the bank roll Imma say that I prefer them no clothes I'm into that I love women exposed She threw it back at me I gave her more Cash ain't a problem I know where it goes. She had them. Chorus. Hey Shawty what I gotta do to get you home My jeans full of gwap And they ready for Shones Cadillacs Maybachs for the s__y grown Patrone on the rocks that'll make you moan. One stack (come on) Two stacks (come on) Three stacks (come on now that's three grand) What you think I'm playin baby girl I'm the man I'll bend the rubber bands. That's what I told her her legs on my shoulder I knew it was ova that Henny and Cola Got me like a Soldier She ready for Rover I couldn't control her So lucky oo me I was just like a clover Shorty was hot like a toaster Sorry but I had to fold her Like a p___ography poster She showed her Chorus. Whoa Shawty Yeah she was worth the money Lil mama took my cash And I ain't want it back The way she bit that rag Got her them paper stacks Tattoo above her crack I had to handle that. I was on it s__y woman let me shownin They be want it two in the mornin I'm zonin in them rosay bottles foamin She wouldn't stop made it drop Shorty did that pop and lock Had to break her off that gwap Gah it was fly just like my glock 
2008,Leona Lewis,Bleeding Love,Closed off from love I didn't need the pain Once or twice was enough And it was all in vain Time starts to pass Before you know it you're frozen But something happened For the very first time with you My heart melts into the ground Found something true And everyone's looking round Thinking I'm going crazy. But I don't care what they say I'm in love with you They try to pull me away But they don't know the truth My heart's crippled by the vein That I keep on closing You cut me open and I. Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open. Trying hard not to hear But they talk so loud Their piercing sounds fill my ears Try to fill me with doubt Yet I know that the goal Is to keep me from falling. But nothing's greater Than the rush that comes with your embrace And in this world of loneliness I see your face Yet everyone around me Thinks that I'm going crazy maybe maybe. But I don't care what they say I'm in love with you They try to pull me away But they don't know the truth My heart's crippled by the vein That I keep on closing You cut me open and I. Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open And it's draining all of me Oh they find it hard to believe I'll be wearing these scars For everyone to see. I don't care what they say I'm in love with you They try to pull me away But they don't know the truth My heart's crippled by the vein That I keep on closing You cut me open and I. Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I. Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I Keep bleeding Keep keep bleeding love 
2008,Alicia Keys,No One,I just want you close Where you can stay forever You can be sure That it will only get better You and me together Through the days and nights I don't worry 'cuz Everything's going to be alright People keep talking they can say what they like But all i know is everything's going to be alright. [Chorus:] No one no one no one Can get in the way of what I'm feeling No one no one no one Can get in the way of what I feel for you you you Can get in the way of what I feel for you. When the rain is pouring down And my heart is hurting You will always be around This I know for certain You and me together Through the days and nights. I don't worry 'cuz Everything's going to be alright People keep talking they can say what they like But all I know is everything's going to be alright [Chorus:]. I know some people search the world To find something like what we have I know people will try try to divide something so real So til the end of time I'm telling you there is no one. [Chorus:] oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh 
2009,Black Eyed Peas,Boom Boom Pow,Gotta get that Gotta get that Gotta get that Gotta get that that that Boom boom boom (gotta get that) (x4) Boom boom boom Boom boom boom Boom boom boom Boom boom boom. (Will.i.am) yo I got the hit that beat the block You can get that bass overload I got the that rock and roll The future flow That digital spit Next level visual s___ I got the boom boom boom How the beat bang Boom boom boom. (Fergie) I like that boom boom pow Them chicken jockin' my style They try copy my swagger Im on that next s___ now Im so 3008 Your so 2000 and late I got the boom boom boom The future boom boom boom Let me get it now. Boom boom boom (gotta get that) (x4) Boom boom boom Boom boom boom Boom boom boom Boom boom boom. (Taboo) I'm on the supersonic boom Y'all hear the s___e s___ zoom When when I step inside the room them girls go apeshit (uh) (...) (...) I'm on that H D flat The bet go boom boom pat. (Apl.de.ap) I'm a beast when you turn me on Into the future cyber-trone Harder  faster  better  stronger s__y ladies extra longer  cuz We got the beat bounce We got the beat bang We got the beat that 808 away the boom boom on your town. (Fergie) People in the place If you wanna get down put your hands in the air Will.i.am drop the beat now. (Will.i.am) Yep yep I be rockin' the beats Yep yep I be rockin' the beats Yep yep Yep yep Here we go Here we go Satellite radio Y'all getting hit with boom (boom) Beats so big i'm steppin on leprechaun s___in' on y'all you with the boom (boom) s___in' on y'all you with the boom (boom) s___in' on y'all you with the This beat be b__pin' b__pin' This beat go boom boom Let the beat rock (x3) This beat be b__pin' b__pin' This beat go boom boom. (Fergie) I like that boom boom pow Them chicken jockin' my style They try copy my swagger I'm on that next s___ now I'm so 3008 Your so 2000 and late I got the boom boom boom The future boom boom boom Let me get it now. Boom boom boom (gotta get that) (x4) Boom boom boom Boom boom boom Boom boom boom Boom boom boom. Let the beat rock Let the beat... Let the beat rock Rock roc. 
2009,Lady Gaga,Poker Face,Mum mum mum mah Mum mum mum mah. I wanna hold em' like they do in Texas Plays Fold em' let em' hit me raise it baby stay with me (I love it) Luck and intuition play the cards with Spades to start And after he's been hooked I'll play the one that's on his heart Oh oh oh oh ohhhh ohh-oh-e-ohh-oh-oh I'll get him hot show him what I've got Oh oh oh oh ohhhh ohh-oh-e-ohh-oh-oh I'll get him hot show him what I've got. Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody). P-p-p-poker face p-p-poker face (Mum mum mum mah) P-p-p-poker face p-p-poker face (Mum mum mum mah). I wanna roll with him a hard pair we will be A little gambling is fun when you're with me I love it) Russian Roulette is not the same without a gun And baby when it's love if its not rough it isn't fun fun Oh oh oh oh ohhhh ohh-oh-e-ohh-oh-oh I'll get him hot show him what I've got Oh oh oh oh ohhhh ohh-oh-e-ohh-oh-oh I'll get him hot show him what I've got. Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody). P-p-p-poker face p-p-poker face (Mum mum mum mah) P-p-p-poker face p-p-poker face (Mum mum mum mah). I won't tell you that I love you Kiss or hug you Cause I'm bluffin' with my m___in I'm not lying I'm just stunnin' with my love-glue-gunning Just like a chick in the casino Take your bank before I pay you out I promise this promise this Check this hand cause I'm marvelous. Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody). Can't read my Can't read my No he can't read my poker face (she's got me like nobody) Can't read my Can't read my No he can't read my poker face (she's got me like nobody). P-p-p-poker face p-p-poker face (Mum mum mum mah) P-p-p-poker face p-p-poker face (Mum mum mum mah). P-p-p-poker face p-p-poker face (Mum mum mum mah) P-p-p-poker face p-p-poker face (Mum mum mum mah). P-p-p-poker face p-p-poker face (Mum mum mum mah) P-p-p-poker face p-p-poker face (Mum mum mum mah). 
2009,Lady Gaga,Just Dance,A red one Convict Gaga I've had a little bit too much (much) All of the people start to rush. (Start to rush by) A dizzy twister dance Can't find my drink or man Where are my keys I lost my phone (oh-oh-oh-oh) What's going out on the floor? I love this record baby but I can't see straight anymore. Keep it cool what's the name of this club? I can't remember but it's alright alright.. [Chorus:] Just dance. Gonna be okay. Da-da-doo-doo-mmm Just dance. Spin that record babe. Da-da-doo-doo-mmm Just dance. Gonna be okay. Duh-duh-duh Dance. Dance. Dance. Ju-ju-ju-just dance.. [Lady Gaga:]. Wish I could shut my playboy mouth. (mouth) How'd I turn my shirt inside out? Inside out right. Control your poison babe Roses have thorns they say. And we're all gettin' hosed tonight. What's going on on the floor? I love this record baby but I can't see straight anymore. Keep it cool what's the name of this club? I can't remember but it's alright alright.. [Chorus]. [Colby Donis:]. When I come through on the dance floor checking out that catalogue Can't believe my eyes so many women without a flaw And I ain't gonn' give it up steady tryna pick it up like a call I'ma hit it I'ma hit it and flex and do it until tomorrow yeah. Shorty I can see that you got so much energy The way you twirling up them hips round and round There is no reason at all why you can't leave here with me In the meantime stay and let me watch you break it down [Chorus]. [Lady Gaga:]. Half psychotic sick hypnotic got my blueprint its symphonic Half psychotic sick hypnotic got my blueprint electronic Half psychotic sick hypnotic got my blueprint its symphonic Half psychotic sick hypnotic got my blueprint electronic. Go. Use your muscle carve it out work it hustle I got it just stay close enough to get it Don't slow! Drive it clean it lysol bleed it Spend the last dough (I got it) In your pocko (I got it). 
2010,Kesha,Tik Tok,Wake up in the mornin' feelin' like P- Diddy (Hey what's up girl) Grab ma glasses I'm out the door I'm gonna hit the city (Let's go) Before I leave brush ma teeth with a bottle of Jack 'Cuz when I leave for the night I ain't comin back I'm talkin pedicure on our toes toes Tryin on all our clothes clothes Boys blowin' up our phones phones. Drop top and playin' our favorite CD's Goin up to the parties Tryna get a little bit tipsy. [CHORUS] Don't stop make it pop DJ blow my speakers up Tonight Im'ma fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. Don't stop make it pop DJ blow my speakers up Tonight Im'ma fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. Aint got a care in world but got plenty of beer Aint got no money in my pocket but I'm already here Now the dudes are lining up cause they hear we got swagger But we kick em to the curb unless they look like Mick Jagger. I'm talkin' bout - everybody getting crunk crunk Boys tryna touch my junk junk Gonna smack him if he getting too drunk drunk Now now - we goin' til they kick us out out Or the police shut us down down Police shut us down down Po-po shut us - (down)-man. [CHORUS] Don't stop make it pop DJ blow my speakers up Tonight Ima fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. Don't stop make it pop DJ blow my speakers up Tonight Im'ma fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. [BRIDGE] You build me up You break me down My heart it pounds Yeah you got me With my hands up You got me now You got that sound Yeah you got me You build me up You break me down My heart it pounds Yeah you got me With my hands up Put your hands up Put your hands up. Now the party don't start till I walk in. [CHORUS] Don't stop make it pop DJ blow my speakers up Tonight Im'ma fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. Don't stop make it pop DJ blow my speakers up Tonight Im'ma fight Til we see the sunlight TiK ToK on the clock But the party don't stop no Woah-oh oh oh Woah-oh oh oh. 
2010,Lady Antebellum,Need You Now,Picture perfect memories scattered all around the floor Reachin for the phone cause I cant fight it anymore And I wonder if I ever cross your mind For me it happens all the time Its a quarter after one Im all alone And I need you now Said I wouldnt call But Ive lost all control And I need you now And I dont know how I can do without I just need you now. Another shot of whiskey cant stop looking at the door Wishing youd come sweeping in the way you did before And I wonder if I ever cross your mind For me it happens all the time. Its a quarter after one Im a little drunk And I need you now Said I wouldnt call But Ive lost all control And I need you now And I dont know how I can do without I just need you now. Yes Id rather hurt than feel nothing at all Its a quarter after one Im all alone And I need you now. And I said I wouldnt call But Im a little drunk And I need you now. And I dont know how I can do without I just need you now. I just need you now. Oh baby I need you now
2010,Train,Hey Soul Sister,Heeey heeeey heeeeey Your lipstick stains on the front lobe of my left side brains I knew I wouldn't forget you And so I went and let you blow my mind Your sweet moving The smell of you in every single dream I dream I knew when we collided you're the one I have decided Who's one of my kind. Hey soul sister ain't that mister mister on the radio stereo The way you move ain't fair you know Hey soul sister I don't wanna miss a single thing you do tonight. Heeey heeeey heeeey. Just in time I'm so glad you have a one track mind le me You gave my life direction A game show love connection we can't deny I'm so obsessed My heart is bound to beat right out my untrimmed chest I believe in you like a virgin you're Madonna And I'm always gonna wanna blow your mind. Hey soul sister ain't that mister mister on the radio stereo The way you move ain't fair you know Hey soul sister I don't wanna miss a single thing you do tonight Well you can cut a rug Watching you is the only drug I need So gangster I'm so thug You're the only one I'm dreaming of You see I can be myself now finally In fact there's nothing I cant be I want the world to see you'll be with me. Hey soul sister ain't that mister mister on the radio stereo The way you move ain't fair you know Hey soul sister I don't wanna miss a single thing you do tonight Hey soul sister I don't wanna miss a single thing you do tonight Heeey heeeey heeeeey (tonight) Heeey heeeey heeeeey (tonight). 
2011,Adele,Rolling In The Deep,There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark Finally I can see you crystal clear Go ahead and sell me out and I'll lay your s___ bare See how I'll leave with every piece of you Don't underestimate the things that I will do There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark. The scars of your love remind me of us They keep me thinking that we almost had it all The scars of your love they leave me breathless I can't help feeling. We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall rolling in the deep) You had my heart inside your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall rolling in the deep). Baby I have no story to be told But I've heard one of you and I'm gonna make your head burn Think of me in the depths of your despair Making a home down there as mine sure won't be shared. The scars of your love remind me of us (You're gonna wish you never had met me) They keep me thinking that we almost had it all (Tears are gonna fall rolling in the deep) The scars of your love they leave me breathless (You're gonna wish you never had met me) I can't help feeling (Tears are gonna fall rolling in the deep). We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall rolling in the deep) You had my heart inside your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall rolling in the deep). Could have had it all Rolling in the deep You had my heart inside your hand But you played it with a beating. Throw your soul through every open door (oooh) Count your blessings to find what you look for (oohh) Turn my sorrow into treasured gold (oooh) You'll pay me back in kind and reap just what you sow (You're gonna wish you never had met me) We could have had it all (Tears are gonna fall rolling in the deep) We could have had it all (You're gonna wish you never had met me) It all it all it all (Tears are gonna fall rolling in the deep). We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall rolling in the deep) You had my heart inside your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall rolling in the deep). Could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall rolling in the deep) You had my heart inside your hand (You're gonna wish you never had met me) But you played it you played it you played it you played it to the beat. 
2011,LMFAO,Party Rock Anthem,PART ROCK YEA Wooo!!!! LETS GO!! Party rock is in the house tonight Everybody just have a good time And we gonna make you lose your mind Everybody just have a good time [X2] We just wanna see yaa!. Shake That !. In the club party rock look up on your girl She on my jock non stop when we in the spot Booty move away like she on the block What the track I gots to know Top jeans tatto cause I'm rock and roll Half black half white diamino Gane the money out the door. Yoooo!! I'm runnin through these hoes like drano I got that devilish flow rock and roll no halo We party rock yea! that's the crew that I'm reppin On the rise to the top no led in our zeppelin Hey!!!. Party rock is in the house tonight Everybody just have a good time And we gonna make you lose your mind Everybody just have a good time [X2]. We just wanna see yaa!. Everyday I'm shuffelin. Shuffelin shuffelin. Step up fast and be the first girl to make me throw this cash We get money don't be mad now stop hatein is bad. One more shot for us Another round Please fill up my cup Don't mess around We just wanna see You shake it now Now you wanna be Your naked now Get up get down put your hands up to the sound [X3] Put your hands up to the sound [X2] Get up [X9] Put your hands up to the sound To the sound Put your hands up !!!!!. Party rock is in the house tonight Everybody just have a good time And we gonna make you lose your mind Everybody just have a good good good time. Ohhhhh!!Ohhhhhh!!!Ohhhhhh!!!Ohhh!. 
2011,Kay Perry,Firework,Do you ever feel like a plastic bag Drifting throught the wind Wanting to start again Do you ever feel feel so paper thin Like a house of cards One blow from caving in. Do you ever feel already buried deep Six feet under scream But no one seems to hear a thing. Do you know that there's still a chance for you Cause there's a spark in you. You just gotta ignite the light And let it shine Just own the night Like the Fourth of July. Cause baby you're a firework Come on show 'em what you're worth Make 'em go 'Oh oh oh!' As you shoot across the sky-y-y. Baby you're a firework Come on let your colors burst Make 'em go 'Oh oh oh!' You're gunna leave 'em fallin' down-own-own. You don't have to feel like a waste of s___e You're original cannot be replaced If you only knew what the future holds After a hurricane comes a rainbow. Maybe you're reason why all the doors are closed So you could open one that leads you to the perfect road Like a lightning bolt your heart will blow And when it's time you'll know. You just gotta ignite the light And let it shine Just own the night Like the Fourth of July. Cause baby you're a firework Come on show 'em what you're worth Make 'em go 'Oh oh oh!' As you shoot across the sky-y-y Baby you're a firework Come on let your colors burst Make 'em go 'Oh oh oh!' You're gonna leave 'em all in awe-awe-awe'. Boom boom boom Even brighter than the moon moon moon It's always been inside of you you you And now it's time to let it through. Cause baby you're a firework Come on show 'em what your worth Make 'em go 'Oh oh oh!' As you shoot across the sky-y-y. Baby you're a firework Come on slet your colors burst Make 'em go 'Oh oh oh!' You're gonna leave 'em all in awe-awe-awe. Boom boom boom Even brighter than the moon moon moon Boom boom boom Even brighter than the moon moon moon. 
2012,Gotye,Somebody That I Used To Know,Now and then I think of when we were together Like when you said you felt so happy you could die Told myself that you were right for me But felt so lonely in your company But that was love and it's an ache I still remember You can get addicted to a certain kind of sadness Like resignation to the end Always the end So when we found that we could not make sense Well you said that we would still be friends But I'll admit that I was glad that it was over. But you didn't have to cut me off Make out like it never happened And that we were nothing And I don't even need your love But you treat me like a stranger And that feels so rough You didn't have to stoop so low Have your friends collect your records And then change your number I guess that I don't need that though Now you're just somebody that I used to know. Now and then I think of all the times you screwed me over But had me believing it was always something that I'd done And I don't wanna live that way Reading into every word you say You said that you could let it go And I wouldn't catch you hung up on somebody that you used to know.... But you didn't have to cut me off Make out like it never happened And that we were nothing And I don't even need your love But you treat me like a stranger And that feels so rough You didn't have to stoop so low Have your friends collect your records And then change your number I guess that I don't need that though Now you're just somebody that I used to know I used to know That I used to know. Somebody.
2012,Carly Rae Jepsen,Call Me Maybe,I threw a wish in the well Don't ask me I'll never tell I looked to you as it fell And now your in my way I trade my soul for a wish Pennies and dimes for a kiss I wasn't looking for this But now your in my way Your stare was holdin' Ripped jeans skin was showin' Hot night wind was blownin' Where you think your going baby?. Hey I just met you and this is crazy But here's my number So call me maybe It's hard to look right at you baby But here my number So call me maybe Hey I just met you and this is crazy But here's my number So call me maybe And all the other boys try to chase me But here's my number So call me maybe. You took your time with the call I took no time with the fall You gave me nothing at all But still your in my way I beg and follow and steal Have foresight and it's real I didn't know I would feel it But it's in my way. Your stare was holdin' Ripped jeans skin was showin' Hot night wind was blownin' Where you think your going baby?. Hey I just met you and this is crazy But here's my number So call me maybe It's hard to look right at you baby But here my number So call me maybe Hey I just met you and this is crazy But here's my number So call me maybe And all the other boys try to chase me But here's my number So call me maybe Before you came into my life I missed you so bad I missed you so bad I missed you so so bad Before you came into my life I missed you so bad And you should know that I missed you so so bad. It's hard to look right at you baby But here's my number So call me maybe Hey I just met you and this crazy But here's my number So call me maybe And all the other boys try to chase me But here's my number So call me maybe. Before you came into my life I missed you so bad I missed you so bad I missed you so so bad Before you came into my life I missed you so bad And you should know that So call me maybe. 
2012,fun,We Are Young,Give me a second I I need to get my story straight My friends are in the bathroom getting higher than the empire state my lover she is waiting for me just across the bar My seat's been taken by some sunglasses asking 'bout a scar and I know I gave it to you months ago I know you're trying to forget but between the drinks and subtle things the holes in my apologies you know I'm trying hard to take it back so if by the time the bar closes and you feel like falling down I'll carry you home. Tonight We are young So let's set the world on fire We can burn brighter than the sun. Tonight we are young so let's set the world on fire we can burn brighter than the sun. Now I know that I'm not all that you got I guess that I I just thought maybe we could find a ways to fall apart But our friends are back So let's raise a toast Cause I found someone to carry me home. Tonight We are young So let's the set the world on fire we can burn brighter than the sun. Tonight We are young so let's set the world on fire we can burn brighter than the sun. Carry me home tonight Just carry me home tonight Carry me home tonight Just carry me home tonight The moon is on my side I have no reason to run So will someone come and carry me home tonight The angels never arrived but I can hear the choir so will someone come and carry me home. Tonight We are young So let's set the world on fire we can burn brighter than the sun. Tonight We are young so let's set the world on fire we can burn brighter than the sun. So if by the time the bar closes and you feel like falling down I'll carry you home tonight 
2013,Macklemore,Can't Hold Us,Return of the Mack get up. What it is what it does what it is what it isn't Looking for a better way to get up out of bed Instead of getting on the internet and checking a new hit We get up fresh out pimp strut walking Little bit of humble little bit of cautious Somewhere between like Rocky and Cosby Sweater Gang Nope Nope. y'all can't copy that Bad moonwalkin' This here is our party My posse's been on broadway and we did it our way Grown music I shed my skin and put my bones into everything I record to it And yet I'm on that stage like Going shine on down Got the Bob Barker (????) my style Money Stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me on my I-N-D-E-P-E-N-D-E-N-T s___ hustling Chasing dreams since I was 14 With the 4 track busting Halfway cross that city with the back(???) Labels out here nah they can't tell me nothing We give it to the people spread it across the country Labels out here nah they can't tell me nothing We give it to the people spread it across the country. And then we go back this is the moment Tonight is the night we'll fight till it's over So we put our hands up like the ceiling can't hold us Like the ceiling can't hold us. Now can I kick it? Thank you Yeah I'm so d___ grateful I grew up really wanting gold fronts But that's what you get when Wu-Tang raised you Y'all can't stop me I go hard like I've got an 808 in my heart beat And I'm eating at the beat Like you gave a little speed to a great white shark on shark week (Why? Time to go off. Gone)? Deuces goodbye I've got a world to see; And my girl She wanna see Rome Caesar'll make you a believer Nah I never ever did it for a throne That validation comes So I'm giving it back to the people now Sing that song and it goes like... Raise those hands this is our party We came here to live life like nobody was watching I got my city right behind me; If I fall they got me Learn from that failure gain humility Then we keep marching ourselves.  And all my people say' 'Na na NAna na naNA na' 
2013,Lorde,Royals,I've never seen a diamond in the flesh I cut my teeth on wedding rings in the movies And I'm not proud of my address In the torn up town no post code envy But every songs like: gold teeth gray goose tripping in the bathroom bloodstains ball gowns trashing the hotel room We don't care we're driving cadillacs in our dreams But everybody's like: crystal maybach diamonds on your timepiece jet planes islands tigers on a gold leash We don't care we aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of love just ain't for us we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule 3x Let me live that fantasy My friends and I we've cracked the code We count our dollars on the train to the party And every one who knows us knows That we're fine with this we didn't come for money But every song's like: gold teeth gray goose tripping in the bathroom bloodstains ball gowns trashing the hotel room We don't care we're driving cadillacs in our dreams But everybody's like: crystal maybach diamonds on your timepiece jet planes islands tigers on a gold leash We don't care we aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of love just ain't for us we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule 3x Let me live that fantasy ooh ooh oh ooh We're better than we've every dreamed And I'm in love with being queen ooh ooh oh ooh Life is great without a care We aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of love just ain't for us we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule 3x Let me live that fantasy 
