year,artist,track,lyrics
1951,Tony Bennett,Because Of You,Because of you there's a song in my heart Because of you my romance had its start Because of you the sun will shine The moon and stars will say you're mine Forever and never to part I only live for your love and your kiss It's paradise to be near you like this Because of you my life is now worthwhile And I can smile Because of you. I only live for your love and your kiss It's paradise to be near you like this Because of you my life is now worthwhile And I can smile Because of you
1951,Les Paul and Mary Ford,How High The Moon,Somewhere there's music How faint the tune Somewhere there's heaven How high the moon There is no moon above When love is far away too Till it comes true That you love me as I love you Somewhere there's music How near how far Somewhere there's heaven It's where you are The darkest night would shine If you would come to me soon Until you will how still my heart How high the moon. Somewhere there's music How faint the tune Somewhere there's heaven How high the moon The darkest night would shine If you would come to me soon Until you will how still my heart How high the moon 
1952,Leroy Anderson,Blue Tango,Here am I with you In a world of blue While we're dancing to The tango we loved when first we met. While the music plays I recall the days When our love was a tune That we couldn't soon forget. As I kiss your cheek We don't have to speak The violins like a choir Express the desire we used to know Not long ago. So just hold me tight In your arms tonight And the blue tango will be Our thrilling memory of love. [Short Instrumental] Here am I with you In a world of blue While we're dancing to The tango we loved when first we met. While the music plays I recall the days When our love was a tune That we couldn't soon forget. As I kiss your cheek We don't have to speak The violins like a choir Express the desire we used to know Not long ago. So just hold me tight In your arms tonight And the blue tango will be Our thrilling memory of love 
1952,Kay Starr,Wheel Of Fortune,The wheel of fortune Goes spinning around Will the arrow point my way Will this be my day Oh wheel of fortune Please don't pass me by Let me know the magic of A kiss and a sign. While the wheel is spinning spinning spinning I'll not dream of winning fortune or fame While the wheel is turning turning turning I'll be yearning yearning For love's precious flame. Oh wheel of fortune I'm hoping somehow If you'll ever smile on me Please let it be now While the wheel is spinning spinning spinning I'll not dream of winning fortune or fame While the wheel is turning turning turning I'll be yearning yearning For love's precious flame. Oh wheel of fortune I'm hoping somehow If you ever smile on me Please let it be now 
1952,Johnnie Ray,Cry,If your sweetheart sends a letter of goodbye It's no secret you'll feel better if you cry When waking from a bad dream Don't you sometimes think it's real But it's only false emotions that you feel If your heartaches seem to hang around too long And your blues keep getting bluer with each song Remember sunshine can be found behind the cloudy skies So let your hair down and go on and cry. If your heartaches seem to hang around too long And your blues keep getting bluer with each song Well now remember sunshine can be found Behind a cloudy sky So let your hair down and go right on and cry 
1953,Eddie Fisher,I'm Walking Behind You,I'm walking behind you On your wedding day And I'll hear you promise To love and obey Though you may forget me You're still on my mind Look over your shoulder I'm walking behind. Maybe I'll kiss again With a love that's new But I shall wish again I was kissing you. As I'll always love you Wherever you go And though we are parted I want you to know That if things go wrong dear And fate is unkind Look over your shoulder I'm walking behind [Instrumental Interlude]. If things should go wrong dear And fate is unkind Look over your shoulder I'm walking behind 
1953,Les Paul and Mary Ford,Vaya Con Dios,Now the hacienda's dark The town is sleeping Now the time has come to part The time for weeping Vaya con dios my darling Vaya con dios my love. Now the village mission bells Are softly ringing If you listen with your heart You'll hear them singing. Vaya con dios my darling Vaya con dios my love. Wherever you may be I'll be beside you Although you're many million dreams away Each night I'll say a pray'r A pray'r to guide you To hasten every lonely hour Of every lonely day Now the dawn is breaking through A gray tomorrow But the memories we share Are there to borrow. Vaya con dios my darling Vaya con dios my love. Vaya con dios my darling Vaya con dios my love. 
1953,Patti Page,Doggie In The Window,How much is that doggie in the window (arf arf) The one with the waggley tail How much is that doggie in the window (arf arf) I do hope that doggie's for sale I must take a trip to California And leave my poor sweetheart alone If he has a dog he won't be lonesome And the doggie will have a good home. How much is that doggie in the window (arf arf) The one with the waggley tail How much is that doggie in the window (arf arf) I do hope that doggie's for sale. I read in the papers there are robbers (roof roof) With flashlights that shine in the dark My love needs a doggie to protect him And scare them away with one bark. I don't want a bunny or a kitty I don't want a parrot that talks I don't want a bowl of little fishies He can't take a goldfish for a walk How much is that doggie in the window (arf arf) The one with the waggley tail How much is that doggie in the window (arf arf) I do hope that doggie's for sale 
1954,Kitty Kallen,Little Things Mean A Lot,Blow me a kiss from across the room Say I look nice when I'm not Touch my hair as you pass my chair Little things mean a lot Give me your arm as we cross the street Call me at six on the dot A line a day when you're far away Little things mean a lot. Don't have to buy me diamonds and pearls Champagne sables or such I never cared much for diamonds and pearls 'cause honestly honey they just cost money. Give me your hand when I've lost the way Give me a shoulder to cry on Whether the day is bright or gray Give me your heart to rely on. Send me the warmth of a secret smile To show me you haven't forgot For always and ever now and forever Little things mean a lot Give me your hand when I've lost the way Give me your shoulder to cry on Whether the day is bright or gray Give my your heart to rely on. Send me the warmth of a secret smile To show me you haven't forgot That always and ever now and forever Little things mean a lot 
1954,Perry Como,Wanted,Wanted someone who kissed me And held me closely then stole my heart Wanted someone I trusted Who gave no warning we'd ever part She was last seen hiding out in someone's arms He knew nothing of the danger in her charms. A jury may find her guilty But I'd forgive her if I could see A signed confession that she's repented And really wanted no one but me. Wanted someone who kissed me And held me closely then stole my heart Wanted someone I trusted Who gave no warning that we'd ever part. She was last seen hiding out in someone's arms He knew nothing of the danger in her charms A jury may find her guilty But I'd forgive her if I could see A signed confession that she's repented And really wanted no one but me 
